,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Lunate,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,Scafoid,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,ForceGage,Radius,Radius,Radius,Radius,Radius,Radius,Radius,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate,Capitate
,ID,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,4C6F3CA668EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,8259AD1D68EE11F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,5A5084686DA011F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,68F0D2CD6DA111F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9,F719E5E4703211F03C28FEC2583C50A9
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
18,0.180000,-0.083740,0.004874,-0.006287,0.996456,194.695602,211.220734,-198.837067,-0.086916,-0.006861,0.019692,0.995997,235.843033,207.269806,-194.137238,-0.024632,0.498967,0.006324,0.866248,103.245544,324.382629,-80.140778,0.012347,-0.061763,0.035659,0.997377,223.178787,163.588486,-176.639465,-0.088898,0.001134,-0.007855,0.996009,217.291626,188.638611,-196.924561
19,0.190000,-0.083325,0.006058,-0.006534,0.996483,194.626694,211.223923,-198.784439,-0.085924,-0.002035,0.021888,0.996059,235.785522,207.283691,-194.065582,-0.024650,0.498994,0.006373,0.866231,103.280495,324.402924,-80.231598,0.012288,-0.061513,0.035902,0.997385,223.125977,163.597610,-176.604507,-0.087446,-0.001960,-0.005964,0.996150,217.233032,188.626434,-196.916016
20,0.200000,-0.080733,0.017217,-0.005468,0.996572,194.561295,211.252136,-198.646057,-0.086268,-0.002042,0.021374,0.996041,235.736725,207.284317,-194.020248,-0.025738,0.498550,0.005256,0.866463,103.361702,324.401062,-80.345688,0.012440,-0.061356,0.035944,0.997391,223.089630,163.602692,-176.566483,-0.086114,-0.003946,-0.004507,0.996267,217.206894,188.625320,-196.901230
21,0.210000,-0.080003,0.013188,-0.004319,0.996698,194.572449,211.227676,-198.714920,-0.085568,-0.001362,0.020515,0.996120,235.702515,207.299698,-193.993546,-0.025875,0.498361,0.005020,0.866569,103.495003,324.416931,-80.543526,0.012754,-0.061510,0.036045,0.997374,223.075668,163.602844,-176.535828,-0.085631,-0.005008,-0.003468,0.996308,217.210892,188.617371,-196.882904
22,0.220000,-0.082742,0.006695,-0.006318,0.996529,194.600433,211.234314,-198.708405,-0.085713,-0.001741,0.021573,0.996085,235.749924,207.297638,-193.984650,-0.024763,0.498951,0.006256,0.866254,103.646385,324.456177,-80.801323,0.012483,-0.061177,0.035956,0.997401,223.102356,163.607803,-176.534180,-0.085608,-0.005120,-0.003294,0.996310,217.228760,188.620789,-196.870361
23,0.230000,-0.082646,0.007060,-0.005951,0.996536,194.654404,211.240875,-198.714859,-0.089972,-0.003458,0.021218,0.995712,235.803757,207.318634,-193.931290,-0.024515,0.499160,0.006586,0.866138,103.802216,324.489746,-81.046066,0.012448,-0.061384,0.035804,0.997394,223.144531,163.606522,-176.541382,-0.086006,-0.004064,-0.003956,0.996279,217.270035,188.642838,-196.866272
24,0.240000,-0.082995,0.007445,-0.006181,0.996503,194.714722,211.243454,-198.735107,-0.086355,-0.003163,0.021012,0.996038,235.850937,207.294449,-194.018646,-0.024294,0.498966,0.006683,0.866255,103.985840,324.535370,-81.388939,0.012521,-0.061762,0.035446,0.997383,223.204269,163.603806,-176.557526,-0.087053,-0.001055,-0.005327,0.996189,217.318893,188.649689,-196.862167
25,0.250000,-0.082870,0.007263,-0.005623,0.996518,194.784805,211.245346,-198.760666,-0.090783,-0.003615,0.020214,0.995659,235.914841,207.307419,-193.979019,-0.024292,0.498891,0.006883,0.866297,104.185371,324.563904,-81.777252,0.012472,-0.061827,0.035379,0.997382,223.256180,163.600082,-176.577728,-0.088648,0.002025,-0.007310,0.996034,217.384735,188.660446,-196.864990
26,0.260000,-0.083050,0.006854,-0.006000,0.996504,194.841980,211.244797,-198.786453,-0.089939,-0.005297,0.019304,0.995746,235.967850,207.300812,-194.016510,-0.025401,0.498469,0.005755,0.866516,104.428070,324.577850,-82.170219,0.012419,-0.061938,0.035315,0.997378,223.302795,163.597610,-176.595993,-0.090033,0.004081,-0.008237,0.995896,217.432724,188.650040,-196.858231
27,0.270000,-0.081472,0.015236,-0.005214,0.996546,194.854416,211.258484,-198.715256,-0.089554,-0.004109,0.019065,0.995791,236.015640,207.294235,-194.016525,-0.025598,0.498671,0.005592,0.866395,104.691841,324.605286,-82.646370,0.012382,-0.061986,0.035239,0.997378,223.332886,163.599136,-176.602646,-0.090695,0.004551,-0.008750,0.995830,217.459335,188.648987,-196.854233
