stiffness,condition,angle,rep,stiffness_norm
268.67953104392166,Combined,90,6,2.511634315648022
46.71603944462053,Combined,90,7,0.4367046767738131
44.85951872887222,Combined,90,8,0.4193497963358886
144.4258183755492,Combined,120,1,1.3501022578392075
105.75813558016526,Combined,120,2,0.988634159997386
130.88330234395838,Combined,120,3,1.2235059077078807
26.43034484426079,Combined,120,4,0.24707264013500282
30.10288758302961,Combined,120,5,0.28140381650908936
67.92221665068645,Combined,120,6,0.6349414466815333
95.34120588781309,Combined,120,7,0.8912560010533483
87.8654362087386,Combined,120,8,0.8213720036051949
64.48613016572477,Combined,150,1,0.6028206792615792
35.44552388846115,Combined,150,2,0.3313471398006401
70.31012494787456,Combined,150,3,0.6572637739482794
56.86537463060213,Combined,150,4,0.5315813442857799
49.75687827064913,Combined,150,5,0.46513064251126174
16.96017750283535,Combined,150,6,0.158544879284605
67.64492163102922,Combined,150,7,0.632349274199233
29.900408765018266,Combined,150,8,0.279511030908589
23.483121505091475,Combined,180,1,0.2195217982611337
39.022809913557154,Combined,180,2,0.3647878500125783
53.812019003728544,Combined,180,3,0.5030383706527083
70.99601560378544,Combined,180,4,0.6636755259022697
54.88206566514052,Combined,180,5,0.5130412387673902
60.814280352666664,Combined,180,6,0.5684959804036118
36.79300085784515,Combined,180,7,0.3439434450818824
44.97137877189985,Combined,180,8,0.4203954715368481
62.901894039521316,Combined,210,1,0.5880111334684855
21.40300342660474,Combined,210,2,0.20007671464710486
89.07181050967988,Combined,210,3,0.8326492716575375
155.51899343562476,Combined,210,4,1.4538020039349453
74.37160538179356,Combined,210,6,0.695230766039301
53.32542346953621,Combined,210,7,0.4984896428922792
68.37977413814598,Combined,210,8,0.639218724829295
143.86397946904694,Combined,240,1,1.3448501499768986
62.52016356573853,Combined,240,2,0.5844426913413303
47.24324394074533,Combined,240,3,0.4416330198399416
53.91372158132208,Combined,240,4,0.5039890931840499
31.291258656363162,Combined,240,5,0.2925127891796576
45.57532468004437,Combined,240,6,0.42604119848075517
60.30546504055894,Combined,240,7,0.5637395406657145
40.7800827628927,Combined,240,8,0.38121495472427375
161.84740750985344,Combined,270,1,1.5129604440688322
80.4867269458866,Combined,270,2,0.7523953334518612
148.38921098919036,Combined,270,3,1.3871523183932424
69.83667293184301,Combined,270,4,0.6528379126790665
113.5708308879957,Combined,270,5,1.0616677608698004
98.1765017209495,Combined,270,6,0.9177605370775502
81.71546144418133,Combined,270,7,0.7638816261320173
83.44282047438467,Combined,270,8,0.7800290944517904
317.83561255911496,Combined,300,1,2.9711486697063827
231.24770152141843,Combined,300,2,2.1617190572696794
188.84396015985823,Combined,300,3,1.7653260328299136
157.9395672539077,Combined,300,4,1.4764296906885177
158.3934067335748,Combined,300,5,1.4806722126495278
214.57665686545835,Combined,300,6,2.005877011271895
87.03221831670588,Combined,300,7,0.8135830267452525
109.2129301610369,Combined,300,8,1.0209298119553818
172.83507444803845,Combined,330,1,1.615673893149348
406.5226229118177,Combined,330,2,3.8002008036319337
166.86271422382998,Combined,330,3,1.5598438683378146
129.01337988904487,Combined,330,4,1.2060257469114342
88.50887853982442,Combined,330,5,0.8273869457655322
111.60842995307938,Combined,330,6,1.0433231050262934
97.05547105013576,Combined,330,7,0.907281067016061
123.37362756406401,Combined,330,8,1.153304963098312
